点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
33,10995,"31°05'43.936461""N","121°35'41.391069""E",0.003,-15505.023,12182.244,0,五组,332
34,10996,"31°05'25.766929""N","121°35'20.058138""E",0.003,-16065.251,11617.494,0,五组,333
35,10081,"31°06'10.579249""N","121°34'35.394558""E",0.003,-14686.399,10432.338,0,五组,334
36,10082,"31°06'11.712296""N","121°34'13.369683""E",0.003,-14652.077,9848.634,0,五组,335
37,12978,"31°06'19.538960""N","121°32'30.636705""E",0.002,-14413.284,7125.998,0,五组,336
38,12302,"31°07'55.054696""N","121°34'59.064424""E",0.003,-11468.138,11056.159,0,五组,337
39,12303,"31°07'31.742144""N","121°32'35.225155""E",0.002,-12189.504,7246.013,0,五组,338
40,12304,"31°05'48.009024""N","121°31'31.771042""E",0.002,-15385.306,5566.603,0,五组,339
41,12317,"31°11'46.162168""N","121°34'33.901127""E",0.002,-4351.188,10382.345,0,五组,340
42,12318,"31°10'43.712106""N","121°34'44.968759""E",0.002,-6274.231,10677.35,0,五组,341
43,12919,"31°09'27.172321""N","121°35'18.915578""E",0.002,-8630.533,11578.886,0,五组,342
44,12918,"31°09'23.710383""N","121°36'37.649760""E",0.003,-8734.611,13664.329,0,五组,343
45,10075,"31°09'24.939833""N","121°37'13.693168""E",0.003,-8695.444,14618.909,0,五组,344
46,10074,"31°08'43.867797""N","121°37'23.903586""E",0.003,-9959.994,14891.151,0,五组,345
47,12910,"31°08'00.407868""N","121°37'16.555646""E",0.003,-11298.745,14698.408,0,五组,346
48,12917,"31°07'36.762557""N","121°37'06.800640""E",0.003,-12027.332,14440.99,0,五组,347
49,12911,"31°08'21.141028""N","121°37'07.952348""E",0.003,-10660.528,14469.599,0,五组,348
50,12916,"31°07'15.815003""N","121°37'08.984739""E",0.003,-12672.39,14499.756,0,五组,349
51,12913,"31°06'58.807956""N","121°35'32.292400""E",0.003,-13199.434,11938.448,0,五组,350
52,11183,"31°10'26.375550""N","121°41'56.980909""E",0.004,-6790.107,22117.934,0,五组,351
53,11182,"31°09'29.715118""N","121°40'23.662095""E",0.003,-8540.088,19650.064,0,五组,352
54,11181,"31°08'00.574584""N","121°40'02.424350""E",0.003,-11286.479,19092.606,0,五组,353
55,10080,"31°08'11.609655""N","121°39'59.367234""E",0.003,-10946.77,19010.997,0,五组,354
56,12914,"31°08'08.025424""N","121°38'49.783478""E",0.003,-11060.357,17167.82,0,五组,355
57,10073,"31°08'02.359669""N","121°37'55.529048""E",0.003,-11237.122,15730.803,0,五组,356
58,12939,"31°11'37.635202""N","121°39'59.278132""E",0.003,-4601.592,18997.059,0,五组,357
59,10023,"31°11'52.273209""N","121°39'58.145027""E",0.003,-4150.822,18966.238,0,五组,358
60,12915,"31°11'39.037246""N","121°41'11.234866""E",0.003,-4554.76,20902.05,0,五组,359
61,10027,"31°10'53.596169""N","121°41'39.002054""E",0.003,-5952.761,21640.098,0,五组,360
62,12938,"31°10'42.364849""N","121°40'51.685365""E",0.003,-6301.191,20387.889,0,五组,361
63,12937,"31°11'11.365526""N","121°40'44.318739""E",0.003,-5408.404,20191.092,0,五组,362
64,10030,"31°11'47.174414""N","121°40'38.474685""E",0.003,-4305.855,20034.235,0,五组,363
65,12936,"31°11'58.561970""N","121°40'01.011601""E",0.003,-3957.001,19041.774,0,五组,364
66,12932,"31°12'51.138277""N","121°38'00.072121""E",0.002,-2343.12,15837.587,0,五组,365
67,12935,"31°11'51.377113""N","121°39'29.324783""E",0.003,-4179.784,18203.294,0,五组,366
68,12934,"31°12'48.598813""N","121°39'01.044479""E",0.003,-2418.742,17451.633,0,五组,367
69,12987,"31°12'21.133382""N","121°37'52.345199""E",0.002,-3267.528,15634.452,0,五组,368
70,10033,"31°12'29.798531""N","121°36'16.657912""E",0.002,-3004.172,13101.088,0,五组,369
71,10034,"31°12'11.589292""N","121°34'31.422269""E",0.002,-3568.146,10315.933,0,五组,370
72,10035,"31°11'52.850899""N","121°34'37.489153""E",0.002,-4145.092,10477.127,0,五组,371
73,12982,"31°13'18.952658""N","121°37'43.306311""E",0.002,-1487.154,15392.53,0,五组,372
74,10715,"30°54'26.694962""N","121°29'33.550543""E",0.005,-36369.114,2438.815,0,五组,373
75,10717,"30°55'37.648604""N","121°27'01.736684""E",0.004,-34184.228,-1592.273,0,五组,374
76,10993,"30°53'27.807983""N","121°29'53.669266""E",0.005,-38182.489,2973.61,0,五组,375
77,10999,"30°55'50.147407""N","121°28'55.049547""E",0.004,-33799.257,1416.032,0,五组,376
78,10707,"30°56'52.455962""N","121°28'02.117657""E",0.004,-31880.476,10.735,0,五组,377
79,12902,"30°56'14.559473""N","121°29'11.232086""E",0.004,-33047.366,1845.501,0,五组,378
80,12900,"30°56'00.012390""N","121°27'38.347645""E",0.004,-33495.572,-620.258,0,五组,379
81,12903,"30°55'59.934596""N","121°28'18.342853""E",0.004,-33497.951,441.514,0,五组,380
82,12908,"31°02'18.232280""N","121°36'49.071083""E",0.004,-21837.944,13984.452,0,五组,381
83,12906,"31°02'42.667489""N","121°36'24.875011""E",0.004,-21086.245,13341.845,0,五组,382
84,12905,"31°02'32.451999""N","121°36'49.453322""E",0.004,-21400,13994,0,五组,383
85,12907,"31°02'51.266667""N","121°37'31.495210""E",0.004,-20819,15108,0,五组,384
86,12909,"31°04'08.849927""N","121°37'47.657573""E",0.004,-18429,15533,0,五组,385
87,12920,"31°04'54.291328""N","121°37'35.248734""E",0.004,-17030,15202,0,五组,386
88,12921,"31°04'50.825717""N","121°37'01.515525""E",0.003,-17138,14308,0,五组,387
89,10701,"30°56'06.942770""N","121°30'44.252559""E",0.004,-33281.163,4314.957,0,五组,388
90,10702,"30°56'41.759942""N","121°30'40.148460""E",0.004,-32208.948,4205.556,0,五组,389
91,10703,"30°57'01.295324""N","121°30'43.944715""E",0.004,-31607.276,4306.067,0,五组,390
92,10704,"30°57'23.131051""N","121°30'37.075339""E",0.004,-30934.879,4123.458,0,五组,391
93,10705,"30°57'26.972530""N","121°30'02.762224""E",0.004,-30816.909,3212.712,0,五组,392
94,10706,"30°57'01.762915""N","121°28'34.700849""E",0.004,-31593.794,875.575,0,五组,393
95,10708,"30°56'36.399593""N","121°26'55.797416""E",0.004,-32374.862,-1749.702,0,五组,394
96,10709,"30°57'07.807292""N","121°26'32.528845""E",0.003,-31407.497,-2367.168,0,五组,395
97,10710,"30°58'07.436312""N","121°26'17.181967""E",0.003,-29571.015,-2774.074,0,五组,396
98,10711,"30°58'12.950563""N","121°26'45.267028""E",0.003,-29401.343,-2028.733,0,五组,397
99,10712,"30°57'32.281998""N","121°26'59.294818""E",0.003,-30653.868,-1656.639,0,五组,398
100,10096,"30°51'29.554338""N","121°32'37.563298""E",0.006,-41822.09,7329.085,0,五组,399
101,10097,"30°50'54.726318""N","121°32'49.554290""E",0.006,-42894.439,7648.458,0,五组,400
102,10056,"31°02'33.128612""N","121°44'33.072523""E",0.005,-21355.519,26287.921,0,五组,401
103,10057,"31°02'58.077783""N","121°44'15.506286""E",0.005,-20588.301,25820.221,0,五组,402
104,12941,"31°03'06.096559""N","121°43'38.377560""E",0.005,-20343.718,24835.151,0,五组,403
105,10060,"31°02'11.049605""N","121°43'35.106498""E",0.005,-22039.232,24752.416,0,五组,404
106,10991,"31°02'07.251588""N","121°43'45.828344""E",0.005,-22155.528,25037.029,0,五组,405
107,12310,"31°02'18.014855""N","121°43'59.124287""E",0.005,-21823.2,25388.828,0,五组,406
108,12311,"31°03'47.128920""N","121°44'15.862231""E",0.005,-19077.621,25825.942,0,五组,407
109,12316,"31°04'24.223734""N","121°44'15.301965""E",0.005,-17935.224,25808.278,0,五组,408
110,10062,"31°01'42.391542""N","121°45'30.203138""E",0.006,-22914.195,27807.01,0,五组,409
111,10063,"31°02'16.104823""N","121°45'48.447349""E",0.006,-21874.619,28288.077,0,五组,410
112,10064,"31°02'36.743176""N","121°46'38.120873""E",0.006,-21235.382,29603.567,0,五组,411
113,10065,"31°02'34.996670""N","121°47'25.561679""E",0.006,-21285.553,30861.721,0,五组,412
114,10066,"31°03'09.093594""N","121°47'10.359676""E",0.006,-20236.624,30455.563,0,五组,413
115,10067,"31°03'17.705504""N","121°47'47.839325""E",0.006,-19968.473,31448.531,0,五组,414
116,10068,"31°03'18.899806""N","121°49'40.929448""E",0.006,-19922.299,34446.887,0,五组,415
117,12942,"31°05'19.592524""N","121°50'54.016537""E",0.006,-16198.705,36371.864,0,五组,416
118,12314,"31°04'40.935805""N","121°49'43.878967""E",0.006,-17395.517,34516.799,0,五组,417
119,12315,"31°04'34.301036""N","121°47'45.424099""E",0.006,-17609.697,31377.451,0,五组,418
120,10001,"30°52'25.407702""N","121°44'51.234403""E",0.008,-40070.366,26817.102,0,五组,419
121,10002,"30°54'21.107267""N","121°48'39.848084""E",0.008,-36490.052,32878.956,0,五组,420
122,10005,"30°51'13.832151""N","121°49'50.276244""E",0.009,-42251.566,34768.117,0,五组,421
123,12943,"30°51'46.046488""N","121°49'03.048062""E",0.009,-41263.508,33510.144,0,五组,422
124,10007,"30°52'18.885915""N","121°47'45.801719""E",0.009,-40258.451,31454.924,0,五组,423
125,12944,"30°52'17.333487""N","121°49'50.382967""E",0.009,-40295.919,34764.54,0,五组,424
126,12946,"30°52'46.697249""N","121°49'51.690241""E",0.009,-39391.493,34796.298,0,五组,425
127,12951,"30°54'24.622977""N","121°51'09.335485""E",0.009,-36368.704,36848.265,0,五组,426
128,12950,"30°53'39.636665""N","121°50'36.844739""E",0.009,-37757.115,35990.179,0,五组,427
129,12947,"30°57'30.489280""N","121°51'16.085002""E",0.008,-30643.922,37007.469,0,五组,428
130,10015,"30°56'39.353722""N","121°53'04.246061""E",0.009,-32208.32,39884.093,0,五组,429
131,10095,"30°54'24.829379""N","121°52'33.260740""E",0.009,-36354.359,39076.885,0,五组,430
132,10004,"30°52'17.333487""N","121°49'50.382967""E",0.009,-40295.919,34764.54,0,五组,431
133,10009,"30°53'14.685415""N","121°51'39.992951""E",0.009,-38519.708,37670.034,0,五组,432
134,10011,"30°52'22.000537""N","121°51'31.269904""E",0.01,-40143.062,37444.076,0,五组,433
135,10094,"30°53'48.748973""N","121°52'06.005354""E",0.009,-37468.175,38357.138,0,五组,434
136,12949,"30°54'04.994146""N","121°52'21.838166""E",0.009,-36966.341,38775.793,0,五组,435
137,12948,"30°52'02.730286""N","121°54'02.348282""E",0.01,-40721.602,41459.719,0,五组,436
138,12952,"30°53'58.824372""N","121°53'33.219696""E",0.01,-37149.246,40672.175,0,五组,437
139,12956,"30°54'57.989497""N","121°53'45.621075""E",0.009,-35325.861,40994.47,0,五组,438
